Runtime dead semantic audit summary
===================================
FILES_SCANNED: 2865
GVL_FIELDS_SCANNED: 6018
DUT_FIELDS_SCANNED: 6144
DUT_TYPES_SCANNED: 962
UNUSED_GVL_FIELDS: 8
UNUSED_DUT_FIELDS: 1753
ORPHAN_DUT_TYPES: 2
SEMANTIC_ZOMBIE_PATTERNS: 889
TOTAL_FINDINGS: 2652
TRUNCATED: False

[UNUSED_DUT_FIELD] OpenTherm_Instability_Observation @ ST_Heating_Runtime_Predictive_State.dut:33 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] OpenTherm_Degraded_Trend_Visible @ ST_Heating_Runtime_Predictive_State.dut:34 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Sequencing_Observation @ ST_Heating_Runtime_Predictive_State.dut:39 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Ownership_Observation @ ST_Heating_Runtime_Predictive_State.dut:40 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Synchronization_Observation @ ST_Heating_Runtime_Predictive_State.dut:41 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] unit_id @ ST_Ventilation_Unit_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] unit_type @ ST_Ventilation_Unit_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] location @ ST_Ventilation_Unit_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] min_speed @ ST_Ventilation_Unit_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] max_speed @ ST_Ventilation_Unit_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] has_smoke_detector @ ST_Ventilation_Unit_Config.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] current_scenario @ ST_Scenario_Transition_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] min_duration_minutes @ ST_Scenario_Transition_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] transition_allowed @ ST_Scenario_Transition_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] CO2_Threshold @ ST_Ventilation_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Humidity_Threshold @ ST_Ventilation_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Night_Mode_Start @ ST_Ventilation_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Night_Mode_End @ ST_Ventilation_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] last_modified @ ST_Operator_Zone_Rights.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] lighting_circuit_id @ ST_Outdoor_Zone_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] auto_enabled @ ST_Outdoor_Zone_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] party_mode_enabled @ ST_Outdoor_Zone_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] value @ ST_Trend_History_Record.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] status @ ST_Calibration_Family_Summary.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sensor_count @ ST_Calibration_Family_Summary.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] verification_active_count @ ST_Calibration_Family_Summary.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] failed_count @ ST_Calibration_Family_Summary.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] max_deviation_percent @ ST_Calibration_Family_Summary.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] summary_text @ ST_Calibration_Family_Summary.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Avg_Result_Value @ ST_Zone_Adapt_State.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Armed @ ST_Security_Zone_State.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Alarm @ ST_Security_Zone_State.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Bypassed @ ST_Security_Zone_State.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Last_Trigger_Time @ ST_Security_Zone_State.dut:7 - DUT field appears unused as a member access.
